artifact_id,summary,open_date,status_name,priority,assigned_to_name,submitter_name,last_modified_date,"Server_found_on","Testing_State","Found_in_Version","Assigned_Release","Disposition","Reproduced","Resolution","Hardware","Product","Component","Severity","Application_Part","Detail_Page","Type_of_Error","Other_Hardware_Software","Date","Time","Tag_fixed_on","Tag_found_on","URL","Steps_to_Reproduce"
4824,"Link to use guidelines in disclaimer doesn't work","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","No Workaround","General Issues","Other","Incorrect Functionality","IE, PC","None","None","None","None","","open http://cancermodels-stage.nci.nih.gov"
4825,"change Environmental Factors to Environmental Factor in the left side navigation","2005-11-09 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Submission","Other","Cosmetic","PC, IE","None","None","None","None","","open submission
open existing model
look at left side navigation"
4826,"change Growth Factors to Growth Factor in the left side navigation","2005-11-09 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Submission","Other","Cosmetic","PC, IE","None","None","None","None","","open submission
open existing model
look at left side navigation"
4827,"change Nutritional Factors to Nutritional Factor in the left side navigation","2005-11-09 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Submission","Other","Cosmetic","PC, IE","None","None","None","None","","open submission
open existing model
look at left side navigation"
4828,"Respiratory is misspelled in the TOC","2005-11-09 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - TOC","Cosmetic","PC, IE","None","None","None","None","","go to search 
go to TOC"
4829,"change field label to "Age at Treatment"","2005-11-09 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Submission","Car Inv - Growth Factor","Cosmetic","PC, IE","None","None","None","None","","go to submit
open existing model
open growth factor page under carcinogenic intervention"
4830,"After searching for drug screening results, clicking on search results gives blank screen","2005-11-09 23:00","Closed",4,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","2.0","Open - Not Reviewed","Always","Code Change","","caMOD","Java API","No Workaround","Search","Search - Drug Screen","Incorrect Functionality","","None","None","None","None","","Go to "Drug Screening" under the search page.  Select 24830 and check "Find in-vivo summary data", and hit submit.

Once the screen comes up hit the "search results" link on the left.  A blank page will be displayed."
4831,"yeast data - strange things","2005-11-10 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","2.0","Open - Not Reviewed","I Didn't Try","Not a Bug","","caMOD","Data source","No Workaround","General Issues","Therapy","Data Corruption","","None","None","None","None","",""
4832,"funny on their head standing questionmarks","2005-11-13 23:00","Closed",1,"Nobody","Ulli Wagner","2008-03-05 15:09","None","None","2.0","None","Open - Not Reviewed","None","Database reload","None","caMOD","Database","No Workaround","Search","Model Characteristics","Incorrect Functionality","PC, IE, Fi","None","None","None","None","","Example: abs_cancer_model_id 458 in n-tier
Compare to http://cancermodels.nci.nih.gov/mmhcc/searchResultsDetail.jsp?modelId=2357
same model in 2-tier"
4833,"link to use guidelines on /infoDisclaimer.do not working","2005-11-13 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","General Issues","Other","Incorrect Functionality","PC, IE, development server 11:14 am CT on 11/14/05","None","None","None","None","","go to Legal Rules of the Road (viewLicense.jsp) and click on "Disclaimer" in the bottom toolbar
On the page that opens the link to the use guidelines are not working"
4834,"why does link to "Accessibility" in bottom menu link to a different page than the text link on the disclaimer page&#063;","2005-11-13 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","General Issues","Other","Incorrect Functionality","PC, IE, dev server","None","None","None","None","","Click on the text link in the disclaimer. It links to http://cancer.gov/accessibility/nci508.htm
The Accessibility link in the bottom menu links to an internal page"
4835,"why does link to "Privacy Notice" in bottom menu link to a different page than the text link on the disclaimer page&#063;","2005-11-13 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","General Issues","Other","Incorrect Functionality","PC, IE, staging server","None","None","None","None","","Click on the text link in the disclaimer. It links to http://www.hhs.gov/Privacy.html
The Accessibility link in the bottom menu links to an internal page /infoPrivacyNotice.do"
4836,"Advanced search problems with space","2005-11-13 23:00","Closed",2,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","2.0","Open - Not Reviewed","","Code Change","","caMOD","Database","Workaround","General Issues","Search - Advanced","Feature Request","","None","None","None","None","","Advanced search/model name/add space in the end."
4837,"VERY LOW PRIORITY - delete the bullet points on the what's new page","2005-11-13 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","General Issues","Other","Cosmetic","PC, IE, staging","None","None","None","None","","go to What's new
http://cancermodels-stage.nci.nih.gov/camod/infoWhatsNew.do"
4838,"Why does a search for synonyms in anatomy tree return disease and drugs&#063;","2005-11-13 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","2.1","","","Code Change","","caMOD","Supporting software","Cosmetic","General Issues","Search - Simple","Incorrect Functionality","PC, Firefox","None","None","None","None","","open up the anatomy tree on the simple search page and enter terms in the search field. Look at the "Alternate Search Terms Used" for results"
4839,"simple search/PI name","2005-11-13 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","2.0","Open - Not Reviewed","","Not a Bug","","caMOD","Java API","No Workaround","General Issues","Search - Simple","Incorrect Functionality","","None","None","None","None","","Simple search by PI, Mervi Heiskanen does not appear in the pull down list."
4840,"login help not available","2005-11-13 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","2.0","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","No Workaround","Registration","Other","Incorrect Functionality","","None","None","None","None","","caMod home page, click help button under the password entry field"
4841,"How to clear the fields in the simple and advanced search page&#063;","2005-11-13 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","Supporting software","Workaround","General Issues","Search - Simple","Performance","IE, PC","None","None","None","None","","go to simple search
select a PI from the list --> perfom the search
return to the simple search page --> PI will still be selected
select a species --> perform search
return to the simple search page --> species and PI will still be selected
query for a keyword
return to the simple search page --> species, PI and keyword will still appear in the fields
click on advanced search
data entered in simple search will appear on the advanced search page"
4842,"email address","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Not a Bug","","caMOD","Data source","Cosmetic","General Issues","Model Characteristics","Incorrect Functionality","","None","None","None","None","","ff"
4843,"Chemical/Drug does unit","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Code Change","","caMOD","Data source","Cosmetic","Submission","Car Inv - Chemical","Incorrect Functionality","","None","None","None","None","","tt"
4844,"DB - Gene ID in spon mutation page","2005-11-14 23:00","Closed",2,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","2.1","","","Not a Bug","","caMOD","Database","Workaround","Submission","Gen Des - Spon Mutation","Feature Request","","None","None","None","None","","tt"
4845,"Does Unit &#063;","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Not a Bug","","caMOD","Database","Cosmetic","Submission","Car Inv - Growth Factor","Incorrect Functionality","","None","None","None","None","","gg"
4846,"Host Species / Strain: Mus musculus / 129","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Not a Bug","","caMOD","Database","Cosmetic","Submission","Graft","Incorrect Functionality","","None","None","None","None","","tt"
4847,"Advanced Search shows 'null' in the gene name field when pages opens","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Workaround","Search","Search - Advanced","Incorrect Functionality","PC, IE","None","None","None","None","","open Advanced search page"
4848,"Advanced searches for "other" carcinogenic interventions do not return results","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","Supporting software","No Workaround","Search","Search - Advanced","Incorrect Functionality","PC, IE","None","None","None","None","","go to advanced search
check the box for "carcinogenic interventions"
select other from any of the drop down list
see if you get results"
4849,"Advanced Search - Search for carcinogenic intervention by checkbox returns wrong results","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","Supporting software","No Workaround","Search","Search - Advanced","Incorrect Functionality","PC, IE","None","None","None","None","","go to advanced search
click the checkbox "Check here to search for models with Carcinogenic interventions data "
perform search
look at the first two models returned 12T-10 (LPB-Tag) and 12T-7
neither of the models contains carcinogenic intervention data"
4850,"word metastasis is misspelled in search result list","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","No Workaround","Search","Other","Incorrect Functionality","PC, IE","None","None","None","None","","go to advanced search
check the box "Check here to search for models with Metastasis "
perform search
look at the right column in the list of models"
4851,"Change label of "Submit" button on advanced search page to "Search"","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Advanced","Cosmetic","PC, IE","None","None","None","None","","go to advanced search"
4852,"Targeted Modification screen, Type of Modification field needs to allow multiple selection","2005-11-14 23:00","Closed",2,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","2.0","Open - Not Reviewed","Always","Code Change","","caMOD","Java API","No Workaround","Submission","Gen Des - Targ Mod","Incorrect Functionality","","None","None","None","None","","Select Enter Targeted Modification from the Genetic Desription left menu selection.  Type of Modification field does not allow multiple selections."
4853,"Targeted Modification screen, Type of Modification field needs to allow multiple selections","2005-11-14 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","2.0","Open - Not Reviewed","Always","Code Change","","caMOD","Java API","No Workaround","Submission","Gen Des - Targ Mod","Incorrect Functionality","","None","None","None","None","","Select Enter Targeted Modification from the Genetic Desription left menu selection.  Type of Modification field does not allow multiple selections."
4854,"change text (or add tooltip/help) to alert users that they need to log in before placing a comment","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Workaround","Search","Other","Cosmetic","PC, IE","None","None","None","None","","go to search
perform search
go to any model and look at any detail page

make sure you are not logged in when doing this"
4855,"Targeted Modification screen, Type of Modification field needs to allow multiple selections","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Not a Bug","","caMOD","HTTP interface","No Workaround","Submission","Gen Des - Targ Mod","Incorrect Functionality","PC, IE","None","None","None","None","","Select Enter Targeted Modification from the Genetic Desription left menu selection.  Type of Modification field does not allow multiple selections."
4856,"Feature request - highlight keyword in search result","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","2.1","","","Code Change","","caMOD","Supporting software","Workaround","Search","Other","Feature Request","n/a","None","None","None","None","","n/a"
4857,"Model Availibility on Model Characteristics search detail page - link stocknumber instead of distributor","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Workaround","Search","Model Characteristics","Performance","PC/IE","None","None","None","None","","go to simple search
enter Apc in the model descriptor field
perform search
open model characteristics page of Apc1638N +/- model
click on link to MMHCC Repository

2. Example
Query for c3 in the model descriptor name
open model characteristics page
open link to Jackson Lab"
4858,"Model Availibility on Model Characteristcs search detail page - link investigator to PI email","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Workaround","Search","Model Characteristics","Performance","Pc/IE","None","None","None","None","","search for c3 in the model descriptor field
open model characteristics page
scroll down to model availibility section"
4859,"delete "Function(s) of Targeted Gene" field on search detail page","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Gen Des - Targ Mod","Incorrect Functionality","PC, IE","None","None","None","None","","query for Apc
open Apc1638N +/- model
compare it side by side with the 2-tier app

info from Functions of targ gene is now shown in gene function field; therefore, we don' t need th Function(s) of Targeted Gene field"
4860,"Rename Gene Function field on the targeted modification search detail page","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Gen Des - Targ Mod","Incorrect Functionality","Pc/IE","None","None","None","None","","query for Apc
open Apc1638N +/- model
compare it side by side with the 2-tier app"
4861,"duplicate of  "Conditional Type" field on search detail page - delete one","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Gen Des - Targ Mod","Incorrect Functionality","PC, IE","None","None","None","None","","query for Apc
open Apc1638N +/- model
compare it side by side with the 2-tier app"
4862,"Sequence Id field on search detail page not populated","2005-11-14 23:00","Closed",3,"Nobody","Ulli Wagner","2008-09-26 10:58","None","None","2.0","2.5","None","None","None","None","caMOD","HTTP interface","No Workaround","Search","Gen Des - Targ Mod","Incorrect Functionality","PC, IE","None","None","None","None","","query for Apc
open Apc1638N +/- model
compare it side by side with the 2-tier app"
4863,"Libraries and Tissues (from EST data) field on search detail page not populated","2005-11-14 23:00","Closed",3,"Nobody","Ulli Wagner","2007-05-17 10:09","None","None","2.0","TBD","Open - Reviewed","None","None","None","caMOD","HTTP interface","No Workaround","Search","Gen Des - Targ Mod","Feature Request","PC, IE","None","None","None","None","","query for Apc
open Apc1638N +/- model
compare it side by side with the 2-tier app"
4864,"Protein Similarities (from UniGene) field on search detail page not populated","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Not Our Bug","","caMOD","HTTP interface","No Workaround","Search","Gen Des - Targ Mod","Incorrect Functionality","PC, IE","None","None","None","None","","query for Apc
open Apc1638N +/- model
compare it side by side with the 2-tier app"
4865,"Conditional Type field on search detail page not correctly populated","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","No Workaround","Search","Gen Des - Targ Mod","Incorrect Functionality","PC, IE","None","None","None","None","","query for Brca
open Brca1Ko/Co x MMTV-cre model
compare it side by side with the 2-tier app"
4866,"Conditional Type field on search detail page not correctly populated","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Not a Bug","","caMOD","HTTP interface","No Workaround","Search","Gen Des - Targ Mod","Incorrect Functionality","PC, IE","None","None","None","None","","query for Brca
open Brca1Ko/Co x MMTV-cre model
compare it side by side with the 2-tier app"
4867,"clean up gene location data in DATOp","2005-11-14 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Database reload","","caMOD","Database","No Workaround","Search","Gen Des - Eng Transgene","Incorrect Functionality","PC/IE","None","None","None","None","","n/a"
4868,"Access to site without accepting the agreement","2005-11-14 23:00","Open",1,"Nobody","Ulli Wagner","2008-10-27 12:05","None","None","None","TBD","None","None","None","None","caMOD","HTTP interface","Workaround","General Issues","Other","Incorrect Functionality","","None","None","None","None","","1)  From the main page, select &amp;amp;amp;amp;amp;quot;User Guidelines&amp;amp;amp;amp;amp;quot;
2)  Select any navigation from the top navigation bar."
4869,"Different names for "Use Guidelines"","2005-11-14 23:00","Closed",2,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","General Issues","Other","Cosmetic","","None","None","None","None","","View the home page."
4870,"Table / Bulleted list has extra padding","2005-11-14 23:00","Closed",2,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Not a Bug","","caMOD","HTTP interface","Cosmetic","General Issues","Other","Cosmetic","","None","None","None","None","","Select What's New from the home page"
4871,"Unable to find Organ from the Search Page","2005-11-14 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Not a Bug","","caMOD","HTTP interface","Cosmetic","General Issues","Other","Incorrect Functionality","","None","None","None","None","","View the search page and compare to the test plan requirement."
4872,"The Reset button on the advanced search is not working","2005-11-14 23:00","Closed",4,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Code Change","","caMOD","Data source","Workaround","Search","Search - Advanced","Incorrect Functionality","","None","None","None","None","","Had the following items selected and tried to "reset" and was not able to:  
PI's Name: BEN-NERIAH, YINON -- 
Species: RAT (RATTUS RATTUS) --
Gene Name: null -- 
Targeted Modification -- 
Select inducing Agent for Induced Mutation: Name of inducing agent -- 
Models with Carcinogenic Interventions: checked -- 
Select Chemical/Drug: 9,10-dmethyl-1 ,2-benzanthracene (DMBA) -- 
Select Surgery: Other -- 
Cell Line: r -- 
Models with Therapeutic Approaches: checked -- 
Models with Metastasis: Checked -- 
Miroarray Data: Checked"
4873,"Links on Second level Navigation on Details page","2005-11-14 23:00","Closed",2,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Advanced","Incorrect Functionality","","None","None","None","None","","Proceed to the Models Detail page and review the second level navigation links."
4874,"Query by PI does not return results","2005-11-15 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","Database","No Workaround","Search","Search - Simple","Incorrect Functionality","","None","None","None","None","","open simple search and query for Morse, Herbert"
